category,order,brand,file,source_url,asset_type,changes,original_master,notes,sha256
customers,15,Slovenská poľnohospodárska univerzita v Nitre,customers/slovenska-polnohospodarska-univerzita.svg,https://cdn.uniag.sk/contao/files/download/dokumenty/verejnost/loga2023/01spu/01_spu_logo.zip,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",7aa656c53d25b01dd8dfe6633429a0c664b230a2f9112e66a33f59bcf6b21502
customers,16,Fakultná nemocnica Nitra,customers/fakultna-nemocnica-nitra.svg,https://fnnitra.sk/wp-content/uploads/fn_nitra_logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",2f15eba1408db8685c2c1045c0adfad4d9a7db2da6f670caaabc38caa984ef07
customers,17,STANTER,customers/stanter.svg,https://stanter.eu/wp-content/uploads/2021/08/STANTER-logo-02.svg,official SVG,none,,Pôvodný vertikálny variant publikovaný spoločnosťou STANTER.,9a9ebb03e27cb5dd37fcbc75448c2830aaaa33e72c0e46f5dc33bb7d2b275383
customers,18,Agromont Nitra,customers/agromont.svg,https://agromontnitra.sk/wp-content/themes/agromont/images/agromont-logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania. Použitý Agromont Nitra, spol. s r. o., podľa regionálneho kontextu.",aad46798e89000bbeebb3ad1bcc778c7f39aedccca71dbfff0c1445ec2a1c448
customers,19,SISME Slovakia / SISME Group (electric motors),customers/sisme-slovakia.svg,https://sisme.it/wp-content/uploads/2024/06/sisme-logo.svg,official SVG with embedded PNG,none,,Originálny súbor výrobcu obsahuje vložený PNG 255 × 54. Nie je to čistý vektor. Zachovaný bez zmeny a bez trasovania.,4581fee39dbc7370cadecf6a8cf027bdd496dbdaf364822290ab14a23b75e31d
technologies,1,Check Point,technologies/check-point.svg,https://www.checkpoint.com/downloads/company/check-point-logo-svg-2024.zip?v=1.0,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",3560e12ed4d835f3220a44b6d1aed3b1f8c221d1d8826e1c45b3d7b06cf9fa36
technologies,2,Microsoft,technologies/microsoft.svg,https://aadcdn.msftauth.net/shared/1.0/content/images/microsoft_logo_564db913a7fa0ca42727161c6d031bef.svg,official SVG,none,,"Pôvodné SVG z Microsoft CDN, odkazované oficiálnou prihlasovacou stránkou.",04d29248ee3a13a074518c93a18d6efc491bf1f298f9b87fc989a6ae4b9fad7a
technologies,3,Hewlett Packard Enterprise,technologies/hpe.svg,https://www.hpe.com/content/dam/hpe/shared-publishing/SVG-Icons/Footer_Logo_Dark.svg,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky. Statický footer variant HPE 2025 pre tmavé pozadie.,09f203c8f4df654e84494622c44d67022908e23cc8db7a0655300cde912b640c
technologies,4,Cisco,technologies/cisco.svg,https://newsroom.cisco.com/etc/designs/r/newsroom/clientlibs/clientlib-header/resources/img/cisco-logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",72ee0b793a858a2fb278ee5f8968ad6f4782d07704ac95dd4b5c481324d2e604
technologies,5,Fortinet,technologies/fortinet.svg,https://www.fortinet.com/content/dam/fortinet/images/general/fortinet-logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",57e367546766312fefd36a98e0fb6f6c2885768616fc186ec42435bf85eb48f2
technologies,6,Heimdal Security,technologies/heimdal-security.svg,https://heimdalsecurity.com/wp-content/themes/heimdal/img/redesign-v2/common/heimdal-logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",581bfd419b96e36851d70a3aaa9cdce3b6ff393985a669300de0ab37b24c56d6
technologies,7,Dell Technologies,technologies/dell-technologies.svg,https://www.dell.com/en-us,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky.,6f30c36cf1dc9e766d609971b19d29110a700c3f366e615e29917ca160ea81a4
technologies,8,Lenovo,technologies/lenovo.svg,https://p3-ofp.static.pub/fes/cms/2023/03/22/8hjmcte754uauw07ypikjkjtx0m5ib450914.svg,official SVG,none,,Pôvodné horizontálne logo z hlavičky https://www.lenovo.com/us/en/ .,422f42f97bc8d3d17313dff4781262115246e060b385b6f53ece2ac1ee99a68a
technologies,9,ESET,technologies/eset.svg,https://www.eset.com/sk,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky.,ba50b9d1f734eba93e28acb84cddab9bfb1dc8c2e4cebc9bb064888c490bb46b
technologies,10,Veeam,technologies/veeam.svg,https://psr.veeam.com/global/img/logo/veeam_logo_lp.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",dd3c10ad0e6842e355f3096a47a47c3d2a47bde0cdb41c6baf7f2a795be0e12c
technologies,11,VMware,technologies/vmware.svg,https://blogs.vmware.com/wp-content/themes/blog-landing-0.2.10/dist/images/VMware-by-Broadcom-Logo_color.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",60751a49188e189cfca11900c25e818af22b32b355bc62def47ae7f44996ee01
technologies,12,Ubiquiti,technologies/ubiquiti.svg,https://techspecs.ui.com/static/brand/Ubiquiti/logo_horizontal_download.zip,official SVG from brand ZIP,none,,Pôvodné UbiquitiHorizontal-logo-dark.svg z oficiálneho brand ZIP. https://techspecs.ui.com/brand?tab=Ubiquiti,5005ec2e7d93523c7a5cc68641ac6e0409f3187554e2b33d1f5fd20635e3b37a
technologies,13,Synology,technologies/synology.svg,https://fileres.synology.com/images/www/company/branding/Synology_logo_Gray.zip,official AI + vector format conversion,PDF-compatible AI to SVG; no tracing or recoloring,technologies/masters/synology.ai,Pôvodný sivý variant z oficiálneho brand ZIP. Originálny AI je priložený. SVG je iba prevod formátu so zachovaním pôvodných vektorových ciest.,c63984fe1c31d15d422c15f326bbc331130347df71be34273135aa3532f5545d
technologies,14,Aruba / HPE Aruba Networking,technologies/aruba.svg,https://files.readme.io/d8865c9-hpe_aruba_orange_pos_rgb.svg,official SVG,none,,Publikované na https://developer.arubanetworks.com/central/docs ; CDN služby ReadMe používané oficiálnou dokumentáciou.,f442ab140081d6769bfe6e933319eacf494e94e1683727345d58859f32dd4ffd
technologies,15,Sophos,technologies/sophos.svg,https://images.contentstack.io/v3/assets/blt38f1f401b66100ad/blt0899b1ab2bd40d8d/68d381f4faf818d3f61fb755/sophos-logo_1_(1).svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",9553ebfff3ac269286ac15e0e64e2d5c28347afccabb214d90d5cfc993d9566b
technologies,16,Acronis,technologies/acronis.svg,https://www.acronis.com,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky.,2033e99819c1693354757c0da38917e88d79f55b6d677c027152d77313e60e37
technologies,17,Schneider Electric,technologies/schneider-electric.svg,https://www.se.com/sk/sk/,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky.,12a6389655ed64205651e63a6c75d33c4662fe95c1bbe8e64346e7670b5d12e0
technologies,18,APC,technologies/apc.svg,https://www.se.com/sk/sk/assets/v2/549/media/202251/APC_logo_toggle.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",190327f162fb4485ca08f5915d22e8eaa5b664b7d33eba6faaa02c9c81edf3d5
technologies,19,TP-Link Omada,technologies/tp-link-omada.svg,https://static.tp-link.com/assets/images/omada/logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",825bef886e531c39fc114e859cc60dab776ab8a2e344bc139906f2caf5cc5881
technologies,20,Kaseya,technologies/kaseya.svg,https://www.kaseya.com/assets/images/logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",37872aa3ca40ff39d9e7fe86356f8475f6437c2fd64b9b4f4d3c6d29e6d1bc28
